7.969027210986255;0.0	9.858153712301892;0.0	10.52804996767299;0.0	10.45849972395907;0.0	9.571537199460746;0.0	
7.870177840779853;0.0	9.79849480152589;0.0	12.329392453508168;0.0	10.30621558238352;0.0	9.495686357465436;0.0	
8.216804834728023;0.0	9.528414487368176;0.0	12.409972082660198;0.0	10.03559608817915;0.0	9.27372194153693;0.0	
8.657250518172322;0.0	9.571435094351365;0.0	12.03082656402014;0.0	10.700903209960494;0.0	9.664734146205634;0.0	
8.944956053672433;0.0	9.64853308226203;0.0	11.935881957958207;0.0	11.49099019911661;0.0	10.660148523535314;0.0	
7.840179956204031;0.0	9.787694086652554;0.0	12.172122488675662;0.0	10.840175662846946;0.0	9.72015500015489;0.0	
8.304296174150275;0.0	9.796600578750414;0.0	11.845450858265517;0.0	10.521904105795192;0.0	9.941355254208418;0.0	
8.020195652683427;0.0	10.233028966516875;0.0	10.403214105793815;0.0	10.778654827619382;0.0	9.306390837731461;0.0	
9.300030513543462;0.0	10.561398843696868;0.0	11.709734552799835;0.0	10.46800333598635;0.0	9.15612493379885;0.0	
9.602051759196627;0.0	9.56241606586131;0.0	10.603732168700285;0.0	10.347539263857806;0.0	9.152922103718646;0.0	
8.363040156100592;0.0	9.473375616062262;0.0	10.602883570774573;0.0	10.955273691334632;0.0	8.898093936009971;0.0	
9.039581158950595;0.0	10.09878048632052;0.0	11.100841850534303;0.0	11.09946198713899;0.0	9.35760973999148;0.0	
8.47133325291176;0.0	10.579413054132496;0.0	10.357393342285448;0.0	10.959270091039183;0.0	9.095034420693004;0.0	
9.236491058902395;0.0	10.00018375264737;0.0	10.764879928017212;0.0	10.881739630751685;0.0	9.207139412428946;0.0	
9.496245809120888;0.0	10.158518642706818;0.0	10.96518138979398;0.0	10.433398050222623;0.0	9.559810512205901;0.0	
7.494523048272085;0.0	10.73987711124101;0.0	11.966982540977918;0.0	10.682849610795005;0.0	9.444528183763184;0.0	
9.426584173342658;0.0	11.262172665934793;0.0	11.114682796900961;0.0	9.944309360836765;0.0	9.100615313793634;0.0	
9.140874566273432;0.0	10.291171764201817;0.0	11.148740234784817;0.0	9.449094134602694;0.0	9.149972605346443;0.0	
8.612683129049511;0.0	9.93208793918393;0.0	10.28242609318228;0.0	9.739041542373405;0.0	9.535841362610002;0.0	
8.691080554958623;0.0	10.243242115765991;0.0	11.268308772398939;0.0	11.620733979613401;0.0	9.79316668906397;0.0	
8.73982160983942;0.0	10.05959773468598;0.0	10.705994632116985;0.0	10.94277727608022;0.0	9.165649373025927;0.0	
9.208147781142623;0.0	9.816324820464288;0.0	10.252029065503567;0.0	10.747235682161643;0.0	9.206237822323908;0.0	
8.851199639966604;0.0	9.653952642015618;0.0	10.239755484858076;0.0	10.984754483040142;0.0	9.01680093194085;0.0	
8.256755044968353;0.0	9.21327310801849;0.0	10.18924471250743;0.0	10.240934446704822;0.0	8.753982453824026;0.0	
8.246165418126017;0.0	10.44748335010941;0.0	11.04262067398912;0.0	11.079401219839525;0.0	9.604074271250633;0.0	
8.93435417076248;0.0	10.08686970924673;0.0	10.758092175000646;0.0	11.405530988480375;0.0	9.779811093803282;0.0	
9.345273949054823;0.0	9.690820888374322;0.0	11.345023475029105;0.0	11.737152594180497;0.0	9.928768505416674;0.0	
8.637834083364517;0.0	9.653486146691113;0.0	11.967290447111544;0.0	10.55360245280264;0.0	9.294378665117057;0.0	
8.372931553980768;0.0	9.924287631024308;0.0	12.062255331558738;0.0	10.906726336300665;0.0	9.044050195419592;0.0	
9.27103172351323;0.0	10.021890856350542;0.0	11.235513665613095;0.0	10.352118269095676;0.0	9.393963596905554;0.0	
8.78467254739883;0.0	9.998752519706116;0.0	11.70890530131709;0.0	10.758038096029244;0.0	9.408650422073084;0.0	
7.08748536183348;0.0	10.42773065766195;0.0	12.07786731606212;0.0	10.848129094579335;0.0	9.716980925591207;0.0	
8.065485959274579;0.0	10.479143217618196;0.0	11.442411733023722;0.0	11.17696507494364;0.0	9.267239271287092;0.0	
8.061474388001947;0.0	10.955694275312755;0.0	11.982935745202958;0.0	10.487668167406374;0.0	9.83052636193501;0.0	
7.5345322921593025;0.0	10.623846259766292;0.0	11.955998126437718;0.0	10.858499000796808;0.0	8.923224866008622;0.0	
8.376219064508522;0.0	9.719441759232705;0.0	11.816790550061244;0.0	11.08184926932169;0.0	9.449499700814373;0.0	
8.30417247143827;0.0	10.698362915092224;0.0	11.9391329418049;0.0	11.173810428250308;0.0	9.9869120170985;0.0	
8.193302204534993;0.0	10.7421507455253;0.0	11.890018438315984;0.0	11.284473267711924;0.0	10.61099763065364;0.0	
9.520582205624443;0.0	10.109186376498684;0.0	10.48444106126115;0.0	10.079688310582734;0.0	9.341500157590078;0.0	
9.107088201837184;0.0	9.982262746651028;0.0	11.025128564599557;0.0	9.876320767086998;0.0	9.335352441270992;0.0	
8.80214908172486;0.0	10.197922667450879;0.0	10.493172083994999;0.0	10.208824939973704;0.0	9.544344603739756;0.0	
9.120738820691624;0.0	10.02268352662813;0.0	11.34534708347884;0.0	10.435178758907767;0.0	9.37378727527226;0.0	
8.561266784352659;0.0	9.762256665280235;0.0	11.839181882097934;0.0	9.896907020059707;0.0	10.17183131093663;0.0	
7.127301605744114;0.0	9.47914468992813;0.0	12.390814567181556;0.0	10.953039753209158;0.0	9.512673790651391;0.0	
6.692345637768921;0.0	9.33447458266555;0.0	11.97453189504196;0.0	10.466553161006598;0.0	10.182267642517719;0.0	
7.873218877680229;0.0	9.812184521840171;0.0	11.50444301508819;0.0	11.024794637704641;0.0	9.398787929258088;0.0	
8.14221751654817;0.0	10.027337635767386;0.0	12.401031773293578;0.0	10.79114498138326;0.0	9.703620868672179;0.0	
8.116493434120722;0.0	10.15515807673902;0.0	12.145727690327403;0.0	11.552994415416235;0.0	10.003100938720682;0.0	
6.984228170276713;0.0	10.45379500330357;0.0	12.225265334764886;0.0	11.176512348163449;0.0	9.924029037416119;0.0	
8.878754514336494;0.0	9.9932651888261;0.0	11.815318440209502;0.0	11.760351222709309;0.0	10.177544282512981;0.0	
6.037109267190078;0.0	10.46841858604724;0.0	12.02837438773271;0.0	11.920515285248788;0.0	10.12322517723441;0.0	
